Title SWINGIN1
Length 31
voices 3
Tempo 240
Orders 1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B

00 | F#2 ... | E-3 110 | E-7 F06
3D | ... ... | ... ... | ... ...
3E | ... ... | ... ... | ... ...
3F | ... ... | ... ... | ... ...

Order 19

00 | ... ... | F-3 210 | ... F05
01 | ... ... | C-1 320 | ... ...
02 | ... ... | ... ... | ... F03
03 | ... ... | === ... | ... ...
04 | ... ... | G#1 ... | ... F05
05 | ... ... | ... ... | ... ...
06 | ... ... | G#2 ... | ... F03
07 | ... ... | === ... | ... ...
08 | ... ... | C-4 220 | ... F05
09 | ... ... | C-3 220 | ... ...
0A | ... ... | C-2 220 | ... F03
0B | ... ... | === ... | ... ...
0C | ... ... | G#1 ... | ... F05
0D | ... ... | G#2 310 | ... ...
0E | ... ... | G#3 ... | ... F03
0F | ... ... | === ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | ... ... | C-1 320 | ... ...
12 | ... ... | G#2 ... | ... F03
13 | ... ... | === ... | ... ...
14 | ... ... | G#4 ... | ... F05
15 | ... ... | === ... | ... ...
16 | ... ... | G#2 ... | ... F03
17 | ... ... | === ... | ... ...
18 | ... ... | C-4 220 | ... F05
19 | ... ... | C-3 220 | ... ...
1A | ... ... | C-2 220 | ... F03
1B | ... ... | === ... | ... ...
1C | ... ... | G#1 ... | ... F05
1D | ... ... | G#2 310 | ... ...
1E | ... ... | G#3 310 | ... F03
1F | ... ... | === ... | ... ...
20 | ... ... | F-3 210 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | ... ... | ... ... | ... F03
23 | ... ... | === ... | ... ...
24 | ... ... | G#1 ... | ... F05
25 | ... ... | ... ... | ... ...
26 | ... ... | G#2 ... | ... F03
27 | ... ... | === ... | ... ...
28 | ... ... | C-4 220 | ... F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | G#1 ... | ... F03
2B | ... ... | ... ... | ... ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | ... ... | D#4 ... | ... F03
2F | ... ... | === ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | ... ... | C-1 320 | ... ...
32 | ... ... | G#2 ... | ... F03
33 | ... ... | === ... | ... ...
34 | ... ... | G#4 ... | ... F05
35 | ... ... | === ... | ... ...
36 | ... ... | G#2 ... | ... F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | ... ... | C-2 220 | ... F03
3B | ... ... | === ... | ... ...
3C | ... ... | G#3 ... | ... F05
3D | ... ... | ... 210 | ... ...
3E | ... ... | G#2 ... | ... F03
3F | ... ... | ... ... | ... ...

Order 19

00 | ... ... | F-3 210 | ... F05
01 | ... ... | C-1 320 | ... ...
02 | ... ... | ... ... | ... F03
03 | ... ... | === ... | ... ...
04 | ... ... | G#1 ... | ... F05
05 | ... ... | ... ... | ... ...
06 | ... ... | G#2 ... | ... F03
07 | ... ... | === ... | ... ...
08 | ... ... | C-4 220 | ... F05
09 | ... ... | C-3 220 | ... ...
0A | ... ... | C-2 220 | ... F03
0B | ... ... | === ... | ... ...
0C | ... ... | G#1 ... | ... F05
0D | ... ... | G#2 310 | ... ...
0E | ... ... | G#3 ... | ... F03
0F | ... ... | === ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | ... ... | C-1 320 | ... ...
12 | ... ... | G#2 ... | ... F03
13 | ... ... | === ... | ... ...
14 | ... ... | G#4 ... | ... F05
15 | ... ... | === ... | ... ...
16 | ... ... | G#2 ... | ... F03
17 | ... ... | === ... | ... ...
18 | ... ... | C-4 220 | ... F05
19 | ... ... | C-3 220 | ... ...
1A | ... ... | C-2 220 | ... F03
1B | ... ... | === ... | ... ...
1C | ... ... | G#1 ... | ... F05
1D | ... ... | G#2 310 | ... ...
1E | ... ... | G#3 310 | ... F03
1F | ... ... | === ... | ... ...
20 | ... ... | F-3 210 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | ... ... | ... ... | ... F03
23 | ... ... | === ... | ... ...
24 | ... ... | G#1 ... | ... F05
25 | ... ... | ... ... | ... ...
26 | ... ... | G#2 ... | ... F03
27 | ... ... | === ... | ... ...
28 | ... ... | C-4 220 | ... F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | G#1 ... | ... F03
2B | ... ... | ... ... | ... ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | ... ... | D#4 ... | ... F03
2F | ... ... | === ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | ... ... | C-1 320 | ... ...
32 | ... ... | G#2 ... | ... F03
33 | ... ... | === ... | ... ...
34 | ... ... | G#4 ... | ... F05
35 | ... ... | === ... | ... ...
36 | ... ... | G#2 ... | ... F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | ... ... | C-2 220 | ... F03
3B | ... ... | === ... | ... ...
3C | ... ... | G#3 ... | ... F05
3D | ... ... | ... 210 | ... ...
3E | ... ... | G#2 ... | ... F03
3F | ... ... | ... ... | ... ...

Order 17

00 | G#2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | === ... | === ... | === ...
04 | === ... | G#2 204 | === F05
05 | === ... | G#1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | === ... | C-3 220 | === ...
0A | === ... | G#1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | G#2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | === ... | === ... | === ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | G#2 ... | ... F03
13 | ... ... | === ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | === ... | === ... | === ...
16 | === ... | G#2 ... | === F03
17 | ... ... | === ... | ... ...
18 | ... ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | ... ... | C-2 220 | B-4 F03
1B | === ... | === ... | === ...
1C | ... ... | G#1 ... | ... F05
1D | === ... | G#2 310 | ... ...
1E | === ... | G#3 310 | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | === ... | === ... | === ...
24 | ... ... | G#2 204 | ... F05
25 | === ... | G#1 308 | === ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | A#4 F05
29 | === ... | C-3 220 | === ...
2A | ... ... | G#1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | === ... | === ... | === ...
30 | ... ... | F-3 210 | ... F05
31 | === ... | C-1 320 | === ...
32 | ... ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | === ... | === ... | === ...
36 | === ... | G#2 ... | === F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | === ... | === ... | === ...
3C | ... ... | G#3 ... | ... F05
3D | === ... | ... 210 | === ...
3E | D#4 ... | G#2 ... | A#4 F03
3F | === ... | ... ... | === ...

Order 18

00 | G#2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | === ... | === ... | === ...
04 | === ... | G#2 204 | === F05
05 | === ... | G#1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | === ... | C-3 220 | === ...
0A | === ... | G#1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | G#2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | === ... | === ... | === ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | G#2 ... | ... F03
13 | ... ... | === ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | === ... | === ... | === ...
16 | === ... | G#2 ... | === F03
17 | ... ... | === ... | ... ...
18 | ... ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | ... ... | C-2 220 | B-4 F03
1B | === ... | === ... | === ...
1C | ... ... | G#1 ... | ... F05
1D | === ... | G#2 310 | ... ...
1E | === ... | G#3 310 | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | === ... | === ... | === ...
24 | ... ... | G#2 204 | ... F05
25 | === ... | G#1 308 | ... ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | A#4 F05
29 | === ... | C-3 220 | === ...
2A | ... ... | G#1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | B-4 F04
2F | === ... | === ... | === ...
30 | G#2 ... | C-4 230 | G#3 114
31 | G#1 303 | C-3 228 | ... 114
32 | ... 303 | C-2 220 | ... 114
33 | ... 303 | === ... | ... 114
34 | ... 303 | ... ... | ... 114
35 | ... 303 | ... ... | ... 114
36 | ... 303 | ... ... | ... 114
37 | ... 303 | ... ... | ... 114
38 | ... ... | ... ... | ... 114
39 | ... ... | ... ... | ... 114
3A | ... ... | ... ... | ... 114
3B | ... ... | ... ... | ... 114
3C | ... ... | ... ... | ... 114
3D | ... ... | ... ... | ... 214
3E | ... ... | ... ... | ... 214
3F | ... ... | ... ... | ... 214

Order 00

00 | G#2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | ... ... | G#2 204 | ... F05
05 | === ... | G#1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | ... ... | C-3 220 | ... ...
0A | === ... | G#1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | G#2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | === ... | G#2 ... | === F03
17 | ... ... | === ... | ... ...
18 | D#6 ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | D#5 ... | G#4 ... | B-4 F03
1B | === ... | === ... | === ...
1C | D#4 ... | G#1 ... | ... F05
1D | ... ... | G#2 310 | ... ...
1E | === ... | G#3 310 | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | ... ... | G#2 204 | ... F05
25 | === ... | G#1 308 | === ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | A#4 F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | G#1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | === ... | C-1 320 | === ...
32 | ... ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | === ... | G#2 ... | === F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | ... ... | ... ... | ... ...
3C | ... ... | G#2 110 | ... F05
3D | === ... | G#3 320 | === ...
3E | D#4 ... | G#4 ... | A#4 F03
3F | ... ... | ... ... | ... ...

Order 01

00 | G#2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | ... ... | G#2 204 | ... F05
05 | === ... | G#1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | ... ... | C-3 220 | ... ...
0A | === ... | G#1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | G#2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | === ... | G#2 ... | === F03
17 | ... ... | === ... | ... ...
18 | D#6 ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | D#5 ... | G#4 ... | B-4 F03
1B | === ... | === ... | === ...
1C | D#4 ... | G#1 ... | ... F05
1D | ... ... | G#2 310 | ... ...
1E | === ... | G#3 310 | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | C#5 F03
23 | ... ... | ... ... | ... ...
24 | ... ... | G#2 204 | ... F05
25 | === ... | G#1 308 | === ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | C#5 F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | G#1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | G#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | === ... | C-1 320 | === ...
32 | ... ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | B-4 F05
35 | ... ... | ... ... | ... ...
36 | === ... | G#2 ... | === F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | D#4 ... | G#4 ... | B-4 F03
3B | ... ... | ... ... | ... ...
3C | ... ... | F#3 210 | ... F05
3D | === ... | F#2 320 | === ...
3E | D#4 ... | G#4 ... | B-4 F03
3F | ... ... | ... ... | ... ...

Order 02

00 | E-2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | ... ... | E-2 204 | ... F05
05 | === ... | E-1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | ... ... | C-3 220 | ... ...
0A | === ... | E-1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | E-2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | === ... | E-2 ... | === F03
17 | ... ... | === ... | ... ...
18 | D#6 ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | D#5 ... | G#4 ... | B-4 F03
1B | === ... | === ... | === ...
1C | D#4 ... | E-1 ... | ... F05
1D | ... ... | E-2 310 | ... ...
1E | === ... | E-3 310 | === F03
1F | ... ... | === ... | ... ...
20 | E-2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | ... ... | E-2 204 | ... F05
25 | === ... | E-1 308 | === ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | A#4 F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | E-1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | E-2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | === ... | C-1 320 | === ...
32 | ... ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | === ... | E-2 ... | === F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | ... ... | ... ... | ... ...
3C | ... ... | E-2 110 | ... F05
3D | === ... | E-3 320 | === ...
3E | D#4 ... | G#4 ... | A#4 F03
3F | ... ... | ... ... | ... ...

Order 03

00 | C#2 ... | F-3 210 | ... F05
01 | === ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | ... ... | C#2 204 | ... F05
05 | === ... | C#1 308 | === ...
06 | ... ... | ... 308 | ... F03
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 220 | B-4 F05
09 | ... ... | C-3 220 | ... ...
0A | === ... | C#1 ... | === F03
0B | ... ... | ... ... | ... ...
0C | ... ... | C#2 310 | ... F05
0D | ... ... | ... 310 | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | ... ... | F-3 210 | ... F05
11 | === ... | C-1 320 | === ...
12 | ... ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | === ... | C#2 ... | === F03
17 | ... ... | === ... | ... ...
18 | D#6 ... | C-4 220 | ... F05
19 | === ... | C-3 220 | ... ...
1A | D#5 ... | G#4 ... | B-4 F03
1B | === ... | === ... | === ...
1C | D#4 ... | C#1 ... | ... F05
1D | ... ... | C#2 310 | ... ...
1E | === ... | C#3 310 | === F03
1F | ... ... | === ... | ... ...
20 | C#2 ... | F-3 210 | ... F05
21 | === ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | ... ... | C#2 204 | ... F05
25 | === ... | C#1 308 | === ...
26 | ... ... | ... 308 | ... F03
27 | ... ... | === ... | ... ...
28 | D#4 ... | C-4 220 | A#4 F05
29 | ... ... | C-3 220 | ... ...
2A | ... ... | C#1 ... | ... F03
2B | === ... | ... ... | === ...
2C | ... ... | C#2 310 | ... F05
2D | ... ... | ... 310 | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | ... ... | F-3 210 | ... F05
31 | === ... | C-1 320 | === ...
32 | ... ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | === ... | C#2 ... | === F03
37 | ... ... | === ... | ... ...
38 | ... ... | C-4 220 | ... F05
39 | ... ... | C-3 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | ... ... | ... ... | ... ...
3C | ... ... | C#2 ... | ... F05
3D | === ... | ... ... | === ...
3E | D#4 ... | G#4 ... | A#4 F03
3F | ... ... | ... ... | ... ...

Order 04

00 | G#2 ... | F-3 220 | ... F05
01 | ... ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | G#5 ... | G#2 208 | === F05
05 | === ... | G#1 ... | ... ...
06 | D#5 ... | ... ... | ... F03
07 | === ... | === ... | ... ...
08 | G#4 ... | C-4 220 | ... F05
09 | === ... | ... 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#5 ... | === ... | === F05
0D | === ... | ... ... | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 220 | === F05
11 | === ... | C-1 320 | ... ...
12 | G#4 ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | G#5 ... | G#2 ... | === F03
17 | ... ... | ... ... | ... ...
18 | === ... | C-4 220 | ... F05
19 | === ... | ... 220 | ... ...
1A | D#5 ... | === ... | ... F03
1B | === ... | === ... | ... ...
1C | D#4 ... | G#4 ... | B-4 F05
1D | ... ... | ... ... | ... ...
1E | === ... | G#3 ... | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 220 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | G#5 ... | G#2 208 | === F05
25 | === ... | G#1 ... | ... ...
26 | D#5 ... | ... ... | ... F03
27 | === ... | === ... | ... ...
28 | G#4 ... | C-4 220 | === F05
29 | === ... | ... 220 | ... ...
2A | D#4 ... | G#4 ... | A#4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 ... | === ... | === F05
2D | === ... | ... ... | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 ... | F-3 220 | ... F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | G#5 ... | G#2 ... | === F03
37 | ... ... | ... ... | ... ...
38 | === ... | C-4 220 | ... F05
39 | ... ... | ... 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | === ... | === ... | === ...
3C | D#4 ... | G#4 ... | A#4 F05
3D | ... ... | ... ... | ... ...
3E | === ... | G#3 ... | === F03
3F | ... ... | === ... | ... ...

Order 05

00 | G#2 ... | F-3 220 | ... F05
01 | ... ... | C-1 320 | === ...
