 "id";"dmg";"name"                       ; "opacity";"strength";"dsty";"fluid";"solid";"wall";"lumcolor";"drop";"ddmg";"fall";"dlfn";"friction"
  "5";  "0";"TILE_SAND"                  ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "0";   "1";   "0";"16"
  "5";  "1";"TILE_SAND_WHITE"            ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "1";   "1";   "0";"16"
  "5";  "2";"TILE_SAND_RED"              ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "2";   "1";   "0";"16"
  "5";  "3";"TILE_SAND_DESERT"           ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "3";   "1";   "0";"16"
  "5";  "4";"TILE_SAND_BLACK"            ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "4";   "1";   "0";"16"
  "5";  "5";"TILE_SAND_GREEN"            ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "5";   "5";   "1";   "0";"16"
  "6";  "0";"TILE_GRAVEL"                ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "6";   "0";   "1";   "0";"16"
  "6";  "1";"TILE_GRAVEL_GREY"           ; "2105376";       "6";"2400";    "0";    "1";   "0";       "0";   "6";   "1";   "1";   "0";"16"
  "7";  "0";"TILE_ORE_MALACHITE"         ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "0";   "0";   "0";"16"
  "7";  "1";"TILE_ORE_HEMATITE"          ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "1";   "0";   "0";"16"
  "7";  "2";"TILE_ORE_NATURAL_GOLD"      ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "2";   "0";   "0";"16"
  "7";  "3";"TILE_ORE_NATURAL_SILVER"    ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "3";   "0";   "0";"16"
  "7";  "4";"TILE_ORE_RUTILE"            ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "4";   "0";   "0";"16"
  "7";  "5";"TILE_ORE_AURICHALCUMITE"    ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "7";   "5";   "0";   "0";"16"
  "8";  "0";"TILE_GEM_RUBY"              ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "0";   "0";   "0";"16"
  "8";  "1";"TILE_GEM_EMERALD"           ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "1";   "0";   "0";"16"
  "8";  "2";"TILE_GEM_SAPPHIRE"          ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "2";   "0";   "0";"16"
  "8";  "3";"TILE_GEM_TOPAZ"             ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "3";   "0";   "0";"16"
  "8";  "4";"TILE_GEM_DIAMOND"           ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "4";   "0";   "0";"16"
  "8";  "5";"TILE_GEM_AMETHYST"          ; "2105376";      "25";"2400";    "0";    "1";   "0";       "0";   "8";   "5";   "0";   "0";"16"
  "9";  "0";"TILE_SNOW"                  ; "2105376";       "6"; "500";    "0";    "1";   "1";       "0";   "9";   "0";   "0";   "0";"16"
  "9";  "1";"TILE_ICE_FRAGILE"           ;  "855309";       "1"; "930";    "0";    "1";   "0";       "0";   "9";   "1";   "0";   "0";"16"
  "9";  "2";"TILE_ICE_NATURAL"           ; "1710618";      "25"; "930";    "0";    "1";   "1";       "0";   "9";   "2";   "0";   "0"; "8"
  "9";  "3";"TILE_ICE_CLEAR_MAGICAL"     ; "2105376";      "25";"3720";    "0";    "1";   "1"; "1253434";   "9";   "3";   "0";   "0"; "8"
  "9";  "4";"TILE_GLASS_CRUDE"           ;  "196867";       "1";"2500";    "0";    "1";   "1";       "0";   "9";   "4";   "0";   "0";"16"
  "9";  "5";"TILE_GLASS_CLEAN"           ;   "65793";       "1";"2203";    "0";    "1";   "1";       "0";   "9";   "5";   "0";   "0";"16"
 "10";  "0";"TILE_PLATFORM_STONE"        ;  "526344";       "1"; "N/A";    "0";    "0";   "0";       "0";  "10";   "0";   "0";   "0";"16"
 "10";  "1";"TILE_PLATFORM_WOODEN"       ;  "526344";       "1"; "N/A";    "0";    "0";   "0";       "0";  "10";   "1";   "0";   "0";"16"
 "10";  "2";"TILE_PLATFORM_EBONY"        ;  "526344";       "1"; "N/A";    "0";    "0";   "0";       "0";  "10";   "2";   "0";   "0";"16"
 "10";  "3";"TILE_PLATFORM_BIRCH"        ;  "526344";       "1"; "N/A";    "0";    "0";   "0";       "0";  "10";   "3";   "0";   "0";"16"
 "10";  "4";"TILE_PLATFORM_BLOODROSE"    ;  "526344";       "1"; "N/A";    "0";    "0";   "0";       "0";  "10";   "4";   "0";   "0";"16"
 "11";  "0";"TILE_TORCH"                 ;  "526344";       "0"; "N/A";    "0";    "0";   "0";"16674864";  "11";   "0";   "0";   "1";"16"
 "11";  "1";"TILE_TORCH_FROST"           ;  "526344";       "0"; "N/A";    "0";    "0";   "0"; "5143807";  "11";   "1";   "0";   "1";"16"
 "12";  "0";"TILE_TORCH"                 ;  "526344";       "0"; "N/A";    "0";    "0";   "0";       "0";  "11";   "0";   "0";   "0";"16"
 "12";  "1";"TILE_TORCH_FROST"           ;  "526344";       "0"; "N/A";    "0";    "0";   "0";       "0";  "11";   "1";   "0";   "0";"16"
 "13";  "0";"TILE_ILLUMINATOR_WHITE"     ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"15003370";  "13";   "0";   "0";   "0";"16"
 "13";  "1";"TILE_ILLUMINATOR_YELLOW"    ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"16766720";  "13";   "1";   "0";   "0";"16"
 "13";  "2";"TILE_ILLUMINATOR_ORANGE"    ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"16751616";  "13";   "2";   "0";   "0";"16"
 "13";  "3";"TILE_ILLUMINATOR_RED"       ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"15400960";  "13";   "3";   "0";   "0";"16"
 "13";  "4";"TILE_ILLUMINATOR_FUCHSIA"   ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"15401143";  "13";   "4";   "0";   "0";"16"
 "13";  "5";"TILE_ILLUMINATOR_PURPLE"    ;  "526344";       "0"; "N/A";    "0";    "1";   "1";"11993323";  "13";   "5";   "0";   "0";"16"
 "13";  "6";"TILE_ILLUMINATOR_BLUE"      ;  "526344";       "0"; "N/A";    "0";    "1";   "1";   "13311";  "13";   "6";   "0";   "0";"16"
 "13";  "7";"TILE_ILLUMINATOR_CYAN"      ;  "526344";       "0"; "N/A";    "0";    "1";   "1";   "55039";  "13";   "7";   "0";   "0";"16"
 "13";  "8";"TILE_ILLUMINATOR_GREEN"     ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "3604224";  "13";   "8";   "0";   "0";"16"
 "13";  "9";"TILE_ILLUMINATOR_GREEN_DARK";  "526344";       "0"; "N/A";    "0";    "1";   "1"; "2123776";  "13";   "9";   "0";   "0";"16"
 "13"; "10";"TILE_ILLUMINATOR_BROWN"     ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "5578752";  "13";  "10";   "0";   "0";"16"
 "13"; "11";"TILE_ILLUMINATOR_TAN"       ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "9857076";  "13";  "11";   "0";   "0";"16"
 "13"; "12";"TILE_ILLUMINATOR_GREY_LIGHT";  "526344";       "0"; "N/A";    "0";    "1";   "1";"12434877";  "13";  "12";   "0";   "0";"16"
 "13"; "13";"TILE_ILLUMINATOR_GREY_MED"  ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "7697781";  "13";  "13";   "0";   "0";"16"
 "13"; "14";"TILE_ILLUMINATOR_GREY_DARK" ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "4276545";  "13";  "14";   "0";   "0";"16"
 "13"; "15";"TILE_ILLUMINATOR_BLACK"     ;  "526344";       "0"; "N/A";    "0";    "1";   "1"; "7274751";  "13";  "15";   "0";   "0";"16"
 "14";  "0";"TILE_ILLUMINATOR_WHITE"     ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "0";   "0";   "0";"16"
 "14";  "1";"TILE_ILLUMINATOR_YELLOW"    ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "1";   "0";   "0";"16"
 "14";  "2";"TILE_ILLUMINATOR_ORANGE"    ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "2";   "0";   "0";"16"
 "14";  "3";"TILE_ILLUMINATOR_RED"       ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "3";   "0";   "0";"16"
 "14";  "4";"TILE_ILLUMINATOR_FUCHSIA"   ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "4";   "0";   "0";"16"
 "14";  "5";"TILE_ILLUMINATOR_PURPLE"    ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "5";   "0";   "0";"16"
 "14";  "6";"TILE_ILLUMINATOR_BLUE"      ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "6";   "0";   "0";"16"
 "14";  "7";"TILE_ILLUMINATOR_CYAN"      ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "7";   "0";   "0";"16"
 "14";  "8";"TILE_ILLUMINATOR_GREEN"     ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "8";   "0";   "0";"16"
 "14";  "9";"TILE_ILLUMINATOR_GREEN_DARK"; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";   "9";   "0";   "0";"16"
 "14"; "10";"TILE_ILLUMINATOR_BROWN"     ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "10";   "0";   "0";"16"
 "14"; "11";"TILE_ILLUMINATOR_TAN"       ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "11";   "0";   "0";"16"
 "14"; "12";"TILE_ILLUMINATOR_GREY_LIGHT"; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "12";   "0";   "0";"16"
 "14"; "13";"TILE_ILLUMINATOR_GREY_MED"  ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "13";   "0";   "0";"16"
 "14"; "14";"TILE_ILLUMINATOR_GREY_DARK" ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "14";   "0";   "0";"16"
 "14"; "15";"TILE_ILLUMINATOR_BLACK"     ; "2105376";       "0"; "N/A";    "0";    "1";   "1";       "0";  "13";  "15";   "0";   "0";"16"
 "15";  "0";"TILE_SANDSTONE"             ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "0";   "0";   "0";"16"
 "15";  "1";"TILE_SANDSTONE_WHITE"       ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "1";   "0";   "0";"16"
 "15";  "2";"TILE_SANDSTONE_RED"         ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "2";   "0";   "0";"16"
 "15";  "3";"TILE_SANDSTONE_DESERT"      ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "3";   "0";   "0";"16"
 "15";  "4";"TILE_SANDSTONE_BLACK"       ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "4";   "0";   "0";"16"
 "15";  "5";"TILE_SANDSTONE_BLACK"       ; "2105376";      "25";"1900";    "0";    "1";   "1";       "0";  "15";   "5";   "0";   "0";"16"
 "16";  "0";"TILE_LANTERN_IRON_REGULAR"  ;  "526344";       "0"; "N/A";    "0";    "0";   "0";"16674864";  "16";   "0";   "0";   "0";"16"
 "16";  "1";"TILE_SUNSTONE"              ; "2105376";       "0"; "N/A";    "0";    "1";   "0";       "0";  "16";   "1";   "0";   "2";"16"
 "16";  "2";"TILE_DAYLIGHT_CAPACITOR"    ; "2105376";       "0"; "N/A";    "0";    "1";   "0";       "0";  "16";   "2";   "0";   "3";"16"
"254";  "0";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "1";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "2";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "3";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "4";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "5";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "6";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "7";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "8";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254";  "9";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "10";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "11";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "12";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "13";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "14";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"254"; "15";"TILE_LAVA"                  ;"16316664";     "100";"2600";    "1";    "0";   "0";"12858368"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "0";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "1";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "2";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "3";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "4";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "5";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "6";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "7";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "8";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255";  "9";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "10";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "11";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "12";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "13";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "14";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"255"; "15";"TILE_WATER"                 ; "1708813";     "100";"1000";    "1";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"
"256";  "0";"TILE_NULL"                  ;       "0";      "-1";"2600";    "0";    "0";   "0";       "0"; "N/A"; "N/A";   "0";   "0";"16"

## Notes ##

# Friction: 0: frictionless, <16: slippery, 16: regular, >16: sticky
# Opacity/Lumcolor: 24-bit RGB. Only the light diffusers have a opacity value of ZERO.
# Solid: whether the tile has full collision
# movr: Movement resistance, (walkspeedmax) / (1 + (n/16)), 16 halves movement speed
# dsty: density. As we are putting water an 1000, it is identical to specific gravity. [g/l]
# dlfn: dynamic luminosity function.
#    0-static, 1-torch flicker, 2-current global light (sun, star, moon), 3-daylight at noon,
#    4-slow breath, 5-pulsate


## Illuminators ##

# Illuminator white: RGB(228,238,234), simulation of a halophosphate FL lamp (If you want high CRI lamp, collect a daylight!)
# Defalut torch : L 64 a 51 b 59; real candlelight colour taken from properly configured camera.
# Sunstone: Artificial sunlight, change colour over time in sync with sunlight. The light is set by game's code.
# Sunlight capacitor: daylight at noon. Set by game's code.


## Tiles ##

# 16 colour palette : Old Apple Macintosh 16-colour palette
# Magical ice: theoretical __metallic__ ice that might form under super-high pressure (> 5 TPa). Its density is a wild guess.


## References ##

#     * Density of various woods : http://www.engineeringtoolbox.com/wood-density-d_40.html
#     * Density of various phases of ice : http://www1.lsbu.ac.uk/water/ice_phases.html
