"TILE_ICE_NATURAL_PLURAL";;"Ices";"Glaces";;;;;;;;;;;;;;;;;;"얼음";
"TILE_ICE_CLEAR_MAGICAL";;"Clear ice";"Glace claire";;;;;;;;;;;;;;;;;;"깨끗한 얼음";
"TILE_ICE_CLEAR_MAGICAL_PLURAL";;"Clear ices";"Glaces claire";;;;;;;;;;;;;;;;;;"깨끗한 얼음";
"TILE_PLATFORM_STONE";;"Stone platform";"Plateforme de pierre";;;;;;;;;;;;;;;;;;"돌 발판";
"TILE_PLATFORM_STONE_PLURAL";;"Stone platforms";"plateformes de pierre";;;;;;;;;;;;;;;;;;"돌 발판";
"TILE_PLATFORM_WOODEN";;"Wooden platform";"Plateforme de planches";;;;;;;;;;;;;;;;;;"나무 발판";
"TILE_PLATFORM_WOODEN_PLURAL";;"Wooden platforms";"Plateformes de planches";;;;;;;;;;;;;;;;;;"나무 발판";
"TILE_PLATFORM_EBONY";;"Ebony platform";"Plateforme de planches ébène";;;;;;;;;;;;;;;;;;"흑단 발판";
"TILE_PLATFORM_EBONY_PLURAL";;"Ebony platforms";"Plateformes de planches ébène";;;;;;;;;;;;;;;;;;"흑단 발판";
"TILE_PLATFORM_BIRCH";;"Birch platform";"Plateforme de planche bouleau";;;;;;;;;;;;;;;;;;"백단 발판";
"TILE_PLATFORM_BIRCH_PLURAL";;"Birch platforms";"Plateformes de planche bouleau";;;;;;;;;;;;;;;;;;"백단 발판";
"TILE_PLATFORM_BLOODROSE";;"Rosewood platform";"Plateforme de planche palissandre";;;;;;;;;;;;;;;;;;"적단 발판";
"TILE_PLATFORM_BLOODROSE_PLURAL";;"Rosewood platforms";"Plateformes de planche palissandre";;;;;;;;;;;;;;;;;;"적단 발판";
"TILE_TORCH";;"Torch";"Torche";;;;;;;;;;;;;;;;;;"횃불";
"TILE_TORCH_PLURAL";;"Torches";"Torches";;;;;;;;;;;;;;;;;;"횃불";
"TILE_WATER";;"Water";"Eau";;;;;;;;;;;;;;;;;;"물";
"TILE_WATER_PLURAL";;"Waters";"Eaux";;;;;;;;;;;;;;;;;;"물";
"TILE_LAVA";;"Lava";"Lave";;;;;;;;;;;;;;;;;;"용암";
"TILE_LAVA_PLURAL";;"Lavas";"Laves";;;;;;;;;;;;;;;;;;"용암";
