# Nameset - Scandinavian
# Data taken from www.behindthename.com
# Translator note: this nameset does not contain name that has [ɹ](american english 'r') sound (except '-er'). i.e. for Korean, 'Carl' should be '카를', 'Aleksander' should be '알렉산더'.

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_SCAN_M_001";"Adam";"아담";
"NAMESET_SCAN_M_065";"Jóhannes";"요한네스";
"NAMESET_SCAN_M_066";"Jón";"욘";
"NAMESET_SCAN_M_067";"Jon";"욘";
"NAMESET_SCAN_M_068";"Jónas";"요나스";
"NAMESET_SCAN_M_069";"Jonas";"요나스";
"NAMESET_SCAN_M_070";"Jonathan";"요나단";
"NAMESET_SCAN_M_071";"Jörgen";"이외르겐";
"NAMESET_SCAN_M_072";"Jørgen";"이외르겐";
"NAMESET_SCAN_M_073";"Josef";"요세프";
"NAMESET_SCAN_M_074";"Kalle";"칼";
"NAMESET_SCAN_M_075";"Kasper";"카스퍼";
"NAMESET_SCAN_M_076";"Kevin";"케빈";
"NAMESET_SCAN_M_077";"Kim";"킴";
"NAMESET_SCAN_M_078";"Knut";"크누트";
"NAMESET_SCAN_M_079";"Kristian";"크리스티안";
"NAMESET_SCAN_M_080";"Kristoffer";"크리스토퍼";
"NAMESET_SCAN_M_081";"Lars";"라르스";
"NAMESET_SCAN_M_082";"Lasse";"라세";
"NAMESET_SCAN_M_083";"Laurits";"라우리츠";
"NAMESET_SCAN_M_084";"Leo";"레오";
"NAMESET_SCAN_M_085";"Linus";"리누스";
"NAMESET_SCAN_M_086";"Loke";"로케";
"NAMESET_SCAN_M_087";"Love";"로베";
"NAMESET_SCAN_M_088";"Ludvig";"루드빅";
"NAMESET_SCAN_M_089";"Lukas";"루카스";
"NAMESET_SCAN_M_090";"Mads";"마드스";
"NAMESET_SCAN_M_091";"Magnus";"마그누스";
"NAMESET_SCAN_M_092";"Malte";"말테";
"NAMESET_SCAN_M_093";"Malthe";"말테";
"NAMESET_SCAN_M_094";"Marcus";"마르쿠스";
"NAMESET_SCAN_M_095";"Maria";"마리아";
"NAMESET_SCAN_M_096";"Marius";"마리우스";
"NAMESET_SCAN_M_097";"Markus";"마르쿠스";
"NAMESET_SCAN_M_098";"Martin";"마르틴";
"NAMESET_SCAN_M_099";"Mats";"마츠";
"NAMESET_SCAN_M_100";"Mattias";"마티아스";
"NAMESET_SCAN_M_101";"Max";"막스";
"NAMESET_SCAN_M_102";"Maximillian";"막시밀리안";
"NAMESET_SCAN_M_103";"Melker";"멜케르";
"NAMESET_SCAN_M_104";"Michael";"멜케르";
"NAMESET_SCAN_M_105";"Mikael";"미카엘";
"NAMESET_SCAN_M_106";"Mikkel";"미켈";
"NAMESET_SCAN_M_107";"Morten";"모르텐";
"NAMESET_SCAN_M_108";"Niklas";"니클라스";
"NAMESET_SCAN_M_109";"Nikolaj";"니콜라이";
"NAMESET_SCAN_M_110";"Nils";"닐스";
"NAMESET_SCAN_M_111";"Odin";"오딘";
"NAMESET_SCAN_M_112";"Ola";"올라";
"NAMESET_SCAN_M_113";"Olaf";"올라프";
"NAMESET_SCAN_M_114";"Olav";"올라브";
"NAMESET_SCAN_M_115";"Ole";"올레";
"NAMESET_SCAN_M_116";"Oliver";"올리버";
"NAMESET_SCAN_M_117";"Olle";"올리버";
"NAMESET_SCAN_M_118";"Olof";"올로프";
"NAMESET_SCAN_M_119";"Oscar";"오스카르";
"NAMESET_SCAN_M_120";"Óskar";"오스카르";
"NAMESET_SCAN_M_121";"Oskar";"오스카르";
"NAMESET_SCAN_M_122";"Otto";"오토";
"NAMESET_SCAN_M_123";"Patrik";"파트릭";
"NAMESET_SCAN_M_124";"Peder";"페더";
"NAMESET_SCAN_M_125";"Per";"페르";
"NAMESET_SCAN_M_126";"Petter";"페터";
"NAMESET_SCAN_M_127";"Philip";"필립";
"NAMESET_SCAN_M_128";"Pontus";"폰투스";
"NAMESET_SCAN_M_129";"Preben";"프레벤";
"NAMESET_SCAN_M_130";"Rafael";"프레벤";
"NAMESET_SCAN_M_131";"Reid";"리드";
"NAMESET_SCAN_M_132";"Robert";"로베르트";
"NAMESET_SCAN_M_133";"Robin";"로빈";
"NAMESET_SCAN_M_134";"Samuel";"사무엘";
"NAMESET_SCAN_M_135";"Sander";"산더";
"NAMESET_SCAN_M_136";"Sebastian";"세바스티안";
"NAMESET_SCAN_M_137";"Sigge";"시게";
"NAMESET_SCAN_M_138";"Sigurd";"시구르";
"NAMESET_SCAN_M_139";"Simen";"시멘";
"NAMESET_SCAN_M_140";"Simon";"시몬";
"NAMESET_SCAN_M_141";"Sindre";"신드레";
"NAMESET_SCAN_M_142";"Sixten";"시그스텐";
"NAMESET_SCAN_M_143";"Stefan";"스테판";
"NAMESET_SCAN_M_144";"Steffen";"스테펜";
"NAMESET_SCAN_M_145";"Stian";"스티안";
"NAMESET_SCAN_M_146";"Svante";"스반테";
"NAMESET_SCAN_M_147";"Sven";"스벤";
"NAMESET_SCAN_M_148";"Teodor";"테오도르";
"NAMESET_SCAN_M_149";"Theodor";"테오도르";
"NAMESET_SCAN_M_150";"Thomas";"토마스";
"NAMESET_SCAN_M_151";"Tim";"팀";
"NAMESET_SCAN_M_152";"Tobias";"토비아스";
"NAMESET_SCAN_M_153";"Tor";"토르";
"NAMESET_SCAN_M_154";"Truls";"트룰스";
"NAMESET_SCAN_M_155";"Ulrik";"울프릭";
"NAMESET_SCAN_M_156";"Valdemar";"발데마르";
"NAMESET_SCAN_M_157";"Valter";"발터";
"NAMESET_SCAN_M_158";"Vidar";"비다르";
"NAMESET_SCAN_M_159";"Viggo";"비고";
"NAMESET_SCAN_M_160";"Viktor";"빅토르";
"NAMESET_SCAN_M_161";"Ville";"빌레";
"NAMESET_SCAN_M_162";"Vincent";"빈센트";
