# Nameset - Scandinavian
# Data taken from www.behindthename.com
# Translator note: this nameset does not contain name that has [ɹ](american english 'r') sound (except '-er'). i.e. for Korean, 'Carl' should be '카를', 'Aleksander' should be '알렉산더'.

"HEADER";"LatinAlph";"HangulKoKR";"KanaJaJP";"CyrilRuRU";"AlphElGR";"HanziZhCN";"HanziZhTW";"AksonThTH";"AlefbetHeIL"
"NAMESET_SCAN_F_001";"Agnes";"아그네스";
"NAMESET_SCAN_F_030";"Elsa";"엘사";
"NAMESET_SCAN_F_031";"Emelie";"에밀리에";
"NAMESET_SCAN_F_032";"Emilia";"에밀리아";
"NAMESET_SCAN_F_033";"Emilie";"에밀리에";
"NAMESET_SCAN_F_034";"Emma";"엠마";
"NAMESET_SCAN_F_035";"Erika";"에리카";
"NAMESET_SCAN_F_036";"Erle";"에를레";
"NAMESET_SCAN_F_037";"Ester";"에스테르";
"NAMESET_SCAN_F_038";"Eva";"에바";
"NAMESET_SCAN_F_039";"Evelina";"에벨리나";
"NAMESET_SCAN_F_040";"Felicia";"펠리시아";
"NAMESET_SCAN_F_041";"Filippa";"필리파";
"NAMESET_SCAN_F_042";"Frederikke";"프레데리케";
"NAMESET_SCAN_F_043";"Freja";"프레야";
"NAMESET_SCAN_F_044";"Frida";"프리다";
"NAMESET_SCAN_F_045";"Gabriella";"가브리엘라";
"NAMESET_SCAN_F_046";"Greta";"그레타";
"NAMESET_SCAN_F_047";"Hanna";"한나";
"NAMESET_SCAN_F_048";"Hanne";"한네";
"NAMESET_SCAN_F_049";"Hedda";"헤다";
"NAMESET_SCAN_F_050";"Hedvig";"헤드빅";
"NAMESET_SCAN_F_051";"Helena";"헬레나";
"NAMESET_SCAN_F_052";"Helene";"헬레네";
"NAMESET_SCAN_F_053";"Helle";"헬레";
"NAMESET_SCAN_F_054";"Henriette";"헨리에트";
"NAMESET_SCAN_F_055";"Hilda";"힐다";
"NAMESET_SCAN_F_056";"Ida";"이다";
"NAMESET_SCAN_F_057";"Ina";"이나";
"NAMESET_SCAN_F_058";"Ingeborg";"잉게보리";
"NAMESET_SCAN_F_059";"Ingrid";"잉그리";
"NAMESET_SCAN_F_060";"Ingvild";"잉그빌드";
"NAMESET_SCAN_F_061";"Iris";"이리스";
"NAMESET_SCAN_F_062";"Isabella";"이사벨라";
"NAMESET_SCAN_F_063";"Jessica";"예시카";
"NAMESET_SCAN_F_064";"Jóhanna";"요한나";
"NAMESET_SCAN_F_065";"Johanna";"요한나";
"NAMESET_SCAN_F_066";"Johanne";"요한네";
"NAMESET_SCAN_F_067";"Jonna";"요나";
"NAMESET_SCAN_F_068";"Julia";"율리아";
"NAMESET_SCAN_F_069";"Kaja";"카야";
"NAMESET_SCAN_F_070";"Kajsa";"카이사";
"NAMESET_SCAN_F_071";"Kamilla";"카밀라";
"NAMESET_SCAN_F_072";"Karen";"카렌";
"NAMESET_SCAN_F_073";"Karin";"카린";
"NAMESET_SCAN_F_074";"Karoline";"카롤리네";
"NAMESET_SCAN_F_075";"Katrine";"카트리네";
"NAMESET_SCAN_F_076";"Klara";"클라라";
"NAMESET_SCAN_F_077";"Kristín";"크리스틴";
"NAMESET_SCAN_F_078";"Kristin";"크리스틴";
"NAMESET_SCAN_F_079";"Kristina";"크리스티나";
"NAMESET_SCAN_F_080";"Kristine";"크리스티네";
"NAMESET_SCAN_F_081";"Lærke";"레르케";
"NAMESET_SCAN_F_082";"Laura";"라우라";
"NAMESET_SCAN_F_083";"Lea";"레아";
"NAMESET_SCAN_F_084";"Lene";"레네";
"NAMESET_SCAN_F_085";"Lilly";"릴리";
"NAMESET_SCAN_F_086";"Lina";"리나";
"NAMESET_SCAN_F_087";"Linda";"린다";
"NAMESET_SCAN_F_088";"Line";"리네";
"NAMESET_SCAN_F_089";"Linn";"린";
"NAMESET_SCAN_F_090";"Linnéa";"린네아";
"NAMESET_SCAN_F_091";"Lisa";"리사";
"NAMESET_SCAN_F_092";"Liv";"리브";
"NAMESET_SCAN_F_093";"Lotte";"로테";
"NAMESET_SCAN_F_094";"Lovisa";"로비사";
"NAMESET_SCAN_F_095";"Lykke";"리케";
"NAMESET_SCAN_F_096";"Maiken";"마이켄";
"NAMESET_SCAN_F_097";"Maja";"마야";
"NAMESET_SCAN_F_098";"Majken";"마이켄";
"NAMESET_SCAN_F_099";"Malene";"말레네";
"NAMESET_SCAN_F_100";"Malin";"말린";
"NAMESET_SCAN_F_101";"Maren";"마렌";
"NAMESET_SCAN_F_102";"Mari";"마리";
"NAMESET_SCAN_F_103";"Maria";"마리아";
"NAMESET_SCAN_F_104";"Marie";"마리에";
"NAMESET_SCAN_F_105";"Märta";"메르타";
"NAMESET_SCAN_F_106";"Marta";"마르타";
"NAMESET_SCAN_F_107";"Marte";"마르테";
"NAMESET_SCAN_F_108";"Mathilde";"마틸데";
"NAMESET_SCAN_F_109";"Matilda";"마틸다";
"NAMESET_SCAN_F_110";"Mia";"미아";
"NAMESET_SCAN_F_111";"Mikaela";"미카엘라";
"NAMESET_SCAN_F_112";"Milla";"밀라";
"NAMESET_SCAN_F_113";"Moa";"모아";
"NAMESET_SCAN_F_114";"My";"미";
"NAMESET_SCAN_F_115";"Nanna";"난나";
"NAMESET_SCAN_F_116";"Nora";"노라";
"NAMESET_SCAN_F_117";"Olivia";"올리비아";
"NAMESET_SCAN_F_118";"Paulina";"파울리나";
"NAMESET_SCAN_F_119";"Pernille";"페르닐레";
"NAMESET_SCAN_F_120";"Pia";"피아";
"NAMESET_SCAN_F_121";"Ragnhild";"라그닐드";
"NAMESET_SCAN_F_122";"Rebecca";"레베카";
"NAMESET_SCAN_F_123";"Rebecka";"레베카";
"NAMESET_SCAN_F_124";"Rebekka";"레베카";
"NAMESET_SCAN_F_125";"Rikke";"리케";
"NAMESET_SCAN_F_126";"Robin";"로빈";
"NAMESET_SCAN_F_127";"Ronja";"로냐";
"NAMESET_SCAN_F_128";"Rosa";"로사";
"NAMESET_SCAN_F_129";"Rut";"루트";
"NAMESET_SCAN_F_130";"Saga";"사가";
"NAMESET_SCAN_F_131";"Sandra";"산드라";
"NAMESET_SCAN_F_132";"Sanna";"산나";
"NAMESET_SCAN_F_133";"Sara";"사라";
"NAMESET_SCAN_F_134";"Semla";"세믈라";
"NAMESET_SCAN_F_135";"Signe";"시그네";
"NAMESET_SCAN_F_136";"Sigrid";"시그리";
"NAMESET_SCAN_F_137";"Silje";"실리에";
"NAMESET_SCAN_F_138";"Sille";"실레";
"NAMESET_SCAN_F_139";"Siri";"시리";
"NAMESET_SCAN_F_140";"Sofia";"소피아";
"NAMESET_SCAN_F_141";"Sofie";"소피에";
"NAMESET_SCAN_F_142";"Solveig";"솔비그";
"NAMESET_SCAN_F_143";"Stina";"스티나";
"NAMESET_SCAN_F_144";"Stine";"스티네";
"NAMESET_SCAN_F_145";"Sunniva";"순니바";
"NAMESET_SCAN_F_146";"Susanne";"수산네";
"NAMESET_SCAN_F_147";"Svea";"스베아";
"NAMESET_SCAN_F_148";"Thea";"테아";
"NAMESET_SCAN_F_149";"Therese";"테레세";
"NAMESET_SCAN_F_150";"Tilda";"틸다";
"NAMESET_SCAN_F_151";"Tova";"토바";
"NAMESET_SCAN_F_152";"Tove";"토베";
"NAMESET_SCAN_F_153";"Tuva";"투바";
"NAMESET_SCAN_F_154";"Tyra";"티라";
"NAMESET_SCAN_F_155";"Vendela";"벤델라";
"NAMESET_SCAN_F_156";"Vera";"베라";
"NAMESET_SCAN_F_157";"Viktoria";"빅토리아";
"NAMESET_SCAN_F_158";"Ylva";"일바";
